AuthorID	Author_Name
221877542	Uri N. Peled
222551584	Rodrigo Bissacot
223695340	Maximilien Gadouleau
224955584	Tamás Budavári
225391807	Yiannis N. Moschovakis
225715035	Iwona Kłoszewska
225998469	Perla Sousi
227075345	Anne Condon
227169902	Melissa J. Hubisz
228897381	Mateja Presern
229031738	Maria Axenovich
230475811	Sara Billey
230642336	Jouni Vuollo
231266892	Juan Carlos Martínez-Cruzado
232124889	Źsolt Tuza
233632296	Roman L. Tatusov
233904400	Kamile Dindar Yagci
234355751	Michael L. Shelanski
234956361	Satyanarayana V. Lokam
236201623	David A. Philiph
237668968	Manzari
237729078	David H. Albonesi
242166434	Luisella Bocchio-Chiavetto
244274933	Domingo A. Pascual-Figal
244656831	Manolis Kamvysselis
248578592	Stephen D Anesi
250656236	Daniel Reem
250761399	Gil Zussman
251052554	Louigi Addario-Berry
252368943	Arjun M. Heimsath
252977470	Helmut Laufs
253520203	George Bedu-Addo
254919286	David M. Auslander
257180354	Drakoulis Yannoukakos
257910034	Christopher Umans
258329601	Frederick Khachik
259128134	Richard A. Shweder
259364132	Arjen P. A. Vestjens
259860356	Richard Foulds
261195735	George Havas
261571608	Ramesh K. Sitaraman
261681984	María Díez-Campelo
261967165	Gilles De Lentdecker
262430779	David Borwein
262622442	Richard A. Brualdi
263555825	Damian Niwiński
263728358	Daniel J. Kleitman
264665496	Bruno Poizat
264957370	Savas Savatianos
265232414	Eli Upfal
266947894	Goran Konjevod
267627786	Moshe Babaioff
268777995	Fabio Martignon
270289186	Daichi Paku
273669035	Patric R. J. Östergård
273782528	Todd Satogata
274387678	Andreja Tepavčević
274394655	Christian Scharenberg
276729633	Simon Rubinstein-Salzedo
277310406	Joan M. Lacomis
277405592	Hans Van Haevermaet
277505483	Robert Tijdeman
279485016	Okorokov
279907095	Alfred Tarski
283944519	Christophe Ramière
283973709	Sean Debroni
284395607	James S. Nowick
285018775	Grzegorz Bujacz
285026227	Hanno Lefmann
288320640	Alex Samorodnitsky
